Scraping subjects for study period: Semester 1 in 2017
There are 116 pages to parse from https://handbook.unimelb.edu.au/search?query=&year=2017&types[]=subject&study_periods[]=semester_1.
(2017 -> semester_1) BMEN90018 at page 1/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=1)
(2017 -> semester_1) EDUC90437 at page 1/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=1)
(2017 -> semester_1) SCIE90005 at page 1/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=1)
(2017 -> semester_1) EDUC40018 at page 1/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=1)
(2017 -> semester_1) PHIL40004 at page 1/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=1)
(2017 -> semester_1) CCDP90013 at page 1/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=1)
(2017 -> semester_1) ACCT40008 at page 1/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=1)
(2017 -> semester_1) POLS90034 at page 1/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=1)
(2017 -> semester_1) POLS90051 at page 1/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=1)
(2017 -> semester_1) POLS90049 at page 1/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=1)
(2017 -> semester_1) LAWS50037 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) MAST90059 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) VETS90041 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) ABPL90077 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) TRAN90007 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) MKTG90032 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) MUSI30257 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) LAWS50024 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) AMGT90001 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) AGRI40017 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) VETS90036 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) MUSI30032 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) TRAN90002 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) COMP90065 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) ARBC40006 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) MEDI90054 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) MUSI10182 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) FREN40009 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) ARTS90014 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) FLTV90015 at page 7/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=7)
(2017 -> semester_1) ELEN90056 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) MUSI90199 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) MAST90045 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) MUSI90195 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) EDUC90429 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) MCEN90040 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) FLTV90005 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) COMP90068 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) NRMT40011 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) MGMT90133 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) MULT90059 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) ECOM90020 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) LAWS50115 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) ACTL40002 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) ECON40001 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) CLRS90003 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) FNCE90016 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) ENST90016 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) POPH90118 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) CVEN90026 at page 10/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=10)
(2017 -> semester_1) FINA30017 at page 3/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=3)
(2017 -> semester_1) BCMB30002 at page 3/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=3)
(2017 -> semester_1) LAWS50114 at page 3/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=3)
(2017 -> semester_1) MGMT90208 at page 3/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=3)
(2017 -> semester_1) PSYT90027 at page 3/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=3)
(2017 -> semester_1) ANCW40014 at page 3/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=3)
(2017 -> semester_1) DRAM10022 at page 3/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=3)
(2017 -> semester_1) FOOD40001 at page 3/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=3)
(2017 -> semester_1) MUSI10193 at page 3/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=3)
(2017 -> semester_1) CHEM90017 at page 3/116 (https://handbook.unimelb.edu.au/search?query=&year=2017&types%5B%5D=subject&study_periods%5B%5D=semester_1&page=3)
